,tweets,
0,the queens take on #KyleRittenhouseTrial seems the same as the #whitesupremacists #domesticterrorist #jan6th anti… https://t.co/s0sNl4GasN,negative
1,RT @ClareKuehn: #BlackLivesMatter #NickiMinaj #MAGA #2A #Alberta #Ontario #Toronto #covid19 #corruption Wake #science #sciencewins #Austral…,negative
2,"Black owned barbershop app Squire raises 60 million. 

https://t.co/kAlDwhwSSo
#africanamerican #africa… https://t.co/f6NMrlOGlQ",positive
3,RT @Malcolm_X_Files: My religion makes me against all forms of racism. It keeps me from judging any man by the color of his skin. It teache…,positive
4,RT @RisePDX: Listen to this #KyleRittenhouseTrial chud who is anti #blacklivesmatter and does have bias get blown apart by the prosecution.…,negative
5,RT @4_South_Africa: @EFFSouthAfrica Please go to Sudan and help restore the dignity of black people. Go to Mozambique and restore the digni…,negative
6,@imVkohli Victory doesn't matter. What matters is that we supported a Social Cause.American Blacks have been Persec… https://t.co/K5aKD4M2Wa,positive
7,"RT @msgrumpybunny: Patriots Believe Black lives matter.

What does being a patriot mean to YOU? 

Join Democrats in reclaiming patriotism n…",negative
8,RT @4_South_Africa: @EFFSouthAfrica Please go to Sudan and help restore the dignity of black people. Go to Mozambique and restore the digni…,negative
9,"RT @CindySpoon: This is happening in the ""blue"" state of #NewMexico. 

The private prison is run by CoreCivic, a company known for human ri…",neutral
10,RT @Malcolm_X_Files: My religion makes me against all forms of racism. It keeps me from judging any man by the color of his skin. It teache…,positive
11,"RT @amanda_gfx: #Gamers! Get sick theme #badges for your gaming so HMU...
#twitch #smallstreamer #twitchstreamer #twitchaffiliate #BlackLiv…",negative
12,"RT @AuthoritahMy: Hate Won’t Make America Great Again T-shirt (image is a only a representation of actual shirt)
https://t.co/GvDZ7L7Mwn
#d…",neutral
13,RT @teodiofidel: You think police in the US is prejudiced? Watch how Cuban police treats South African Medical students that were just havi…,negative
14,RT @ejlazarus: How in the world has a child been missing for almost a month and no one suspects foul play nor has any suspect been named? T…,negative
